,i,type,prob,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
34,11.0,1.0,0.2044635121846224,11.91875,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125,-34.5765625,-28.178125,-26.4109375,-46.4609375,-47.384375,-54.565625
35,11.0,2.0,0.6516072779433568,50.375,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625,32.15625,52.15625,53.984375,54.640625,41.828125,27.296875,9.15625
36,12.0,0.0,0.1442504377284901,-9.6875,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625,-153.71875,-144.671875,-147.953125,-168.828125,-172.578125,-186.03125,-175.328125
37,12.0,1.0,0.20663285491139144,11.3078125,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125,-34.5765625,-28.178125,-26.4109375,-46.4609375,-47.384375,-54.565625,-48.625
38,12.0,2.0,0.6491167073601184,56.40625,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625,32.15625,52.15625,53.984375,54.640625,41.828125,27.296875,9.15625,16.109375
39,13.0,0.0,0.1422390769426147,-7.84375,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625,-153.71875,-144.671875,-147.953125,-168.828125,-172.578125,-186.03125,-175.328125,-172.1875
40,13.0,1.0,0.20475809907158743,9.96875,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125,-34.5765625,-28.178125,-26.4109375,-46.4609375,-47.384375,-54.565625,-48.625,-50.415625
41,13.0,2.0,0.6530028239857979,58.15625,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625,32.15625,52.15625,53.984375,54.640625,41.828125,27.296875,9.15625,16.109375,21.125
42,14.0,0.0,0.14606775299778832,-13.875,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625,-153.71875,-144.671875,-147.953125,-168.828125,-172.578125,-186.03125,-175.328125,-172.1875,-175.4375
43,14.0,1.0,0.20938912168764276,7.81875,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125,-34.5765625,-28.178125,-26.4109375,-46.4609375,-47.384375,-54.565625,-48.625,-50.415625,-55.3109375
44,14.0,2.0,0.644543125314569,50.625,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625,32.15625,52.15625,53.984375,54.640625,41.828125,27.296875,9.15625,16.109375,21.125,0.90625
45,15.0,0.0,0.14560674045852345,-10.328125,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625,-153.71875,-144.671875,-147.953125,-168.828125,-172.578125,-186.03125,-175.328125,-172.1875,-175.4375,-190.484375
46,15.0,1.0,0.2087145839597468,9.18125,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125,-34.5765625,-28.178125,-26.4109375,-46.4609375,-47.384375,-54.565625,-48.625,-50.415625,-55.3109375,-58.390625
47,15.0,2.0,0.6456786755817298,45.921875,51.046875,53.09375,49.421875,55.671875,45.546875,29.75,34.84375,18.796875,17.5,19.875,19.125,23.765625,28.96875,27.3125,41.203125,56.3125,61.796875,25.84375,33.9375,34.03125,32.203125,26.71875,37.359375,29.625,32.15625,52.15625,53.984375,54.640625,41.828125,27.296875,9.15625,16.109375,21.125,0.90625,14.171875
48,16.0,0.0,0.1448002037900763,-5.203125,-15.0625,-10.296875,-8.296875,-18.859375,-18.90625,-25.125,-50.28125,-43.15625,-46.875,-50.890625,-53.203125,-47.375,-24.71875,-27.796875,-32.0,-52.484375,-63.96875,-89.90625,-158.5,-152.96875,-152.78125,-153.96875,-151.9375,-154.140625,-153.71875,-144.671875,-147.953125,-168.828125,-172.578125,-186.03125,-175.328125,-172.1875,-175.4375,-190.484375,-178.703125
49,16.0,1.0,0.20933399268269764,10.8,9.8140625,11.265625,10.2125,3.0359375,1.0296875,5.321875,-10.4234375,-7.971875,-9.309375,-11.684375,-11.4984375,-10.5734375,2.05625,-1.33125,-5.69375,-9.9875,-26.2109375,-39.421875,-53.8,-49.2015625,-50.8703125,-40.1515625,-32.1484375,-35.3828125,-34.5765625,-28.178125,-26.4109375,-46.4609375,-47.384375,-54.565625,-48.625,-50.415625,-55.3109375,-58.390625,-49.5484375
